Welke wielrenner wordt ook wel de das genoemd?;Bernard Hinault;SPORTS
Van welke sport is Tjerk Kramer bekend?;Waterpolo;SPORTS
Van welke sport zijn de gebroeders Elmond bekend?;Judo;SPORTS
Welke club werd Nederlands kampioen voetbal in het seizoen 2006/2007?;PSV;SPORTS
Welke club werd Nederlands kampioen hockey bij de heren in het seizoen 2012/2013?; Oranje Zwart;SPORTS
Wat was de naam van de eerste atleet die 100m in minder dan tien seconden aflegde?;Jim Hines;SPORTS
Wat was het medicijn tegen de 19e eeuwse ‘ziekte’ Hysterie?;Vibrator;HISTORY
Wat betekent de spreuk ‘Urbi et Orbi‘?;De stad (Rome) en de wereld;HISTORY
Wat betekent de spreuk ‘Ora et Labora’?;Bid en werk;HISTORY
Welke Franse verlichtingsfilosoof was de eerste die de bekende scheiding der machten(Trias Politica) beschreef?;Charles Montesquieu;HISTORY
Welke Japanse steden weden in de tweede wereld oorlog gebombardeerd met een atoombom?;Nagasaki en Hiroshima;HISTORY
Wat is hoofdstad van de deelstaat West-Falen?;Düsseldorf;GEOGRAPHY
Welke twee grote rivieren stromen door Irak?;Eufraat en Tigris;GEOGRAPHY
Wat is de hoogste berg ter wereld?;Mount Everest;GEOGRAPHY
Wat is de hoogste vulkaan ter wereld?;Ojos del Salado;GEOGRAPHY
Waar staat de afkorting U.S.S.R.voor?;Unie van Socialistische SovjetRepublieken;GEOGRAPHY
Wie wordt gezien als de grondlegger van het communisme?;Karl Marckx;GEOGRAPHY
Wat was de naam van het land dat nu Myanmar heet?;Birma;GEOGRAPHY
Welke stad stond vroeger bekend als Constantinopel?;Istanbul;GEOGRAPHY
Hoe heet de Nederlandse wetenschapper die in 2012 zijn baan als president van de KNAW verruilde voor die van directeur van het Institute for Advanced Study?;Robert Dijkgraag;SCIENCE;
Waarvoor staat de afkorting KNAW?;Koninklijk Nederlandse Academie voor Wetenschap;SCIENCE
Welke medische specialisatie richt zich onder meer op het onderzoek naar en de behandeling van kanker?;Onologie;SCIENCE
Welke medische specialisatie houdt zich onder meer bezig met onderzoek naar en behandelingen van de geslachtsorganen van de man;Urologie;SCIENCE
Welke medische specialisatie houdt zich onder meer bezig met het onderzoek naar en behandeling van de huid ?;Dermatologie;SCIENCE
Wie was de ontdekker van penicelline?;Alexander Fleming;SCIENCE
Wie wordt ook wel de vader van de atoombom genoemd?;Robert Oppenheimer;SCIENCE
Wat is een cyclotron?;Een circulaire deeltjesversneller;SCIENCE
Wie was de uitvinder van het dynamiet?;Afred Nobel;SCIENCE
Wat was het spel van het jaar 1999?;Kolonisten van Catan;ENTERTAINMENT
Welke film won een oscar voor beste animatiefilm in 2013?;Frozen;ENTERTAINMENT
Wat was de eerste Nederlandse film die een oscar won?;De Aanslag;ENTERTAINMENT
In welke serie is Carice van Houten te zien als 'Melisandre'?;Game of Thrones;ENTERTAINMENT
Welke musical vertelt het verhaal voorafgaande aan The Wizard of Oz?;Wicked";ENTERTAINMENT
Welke acteur speelt dokter House in de gelijknamige televisieserie?;Hugh Laurie;ENTERTAINMENT
Wat was de naam het personage van Leonardo di Caprio in de film The Titanic?;Jack Dawson;ENTERTAINMENT
Wat was de eerste nummer-1 hit van André Hazes?;Eenzame Kerst;ENTERTAINMENT
Wat zijn de namen van de vier Beatles?;John Lennon, Paul McCartney, George Harrison, Ringo Starr;ENTERTAINMENT
Welke mode-ontwerper ontwierp de bruidsjurk van Koningin Maxima?;Valentino;ENTERTAINMENT
